Rank,Title,url,Votes_10,Votes_9,Votes_8,Votes_7,Votes_6,Votes_5,Votes_4,Votes_3,Votes_2,Votes_1,Votes_M,Votes_F,AvgRating_M,AvgRating_F
1,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,1260645,582940,265026,84903,25579,13176,6417,4621,4309,34185,1393563,274382,9.3,9.2
2,The Godfather,https://www.imdb.com/title/tt0068646/,814277,389570,192590,76143,29236,16180,8237,6129,5795,36671,1005444,151890,9.2,8.9
3,The Dark Knight,https://www.imdb.com/title/tt0468569/,1008195,630723,344652,134344,48497,22738,11234,7958,7069,30021,1410079,250867,9.1,8.7
4,The Godfather: Part II,https://www.imdb.com/title/tt0071562/,473383,315236,170340,68839,25697,12362,6074,4270,3840,20176,713070,96151,9.0,8.7
5,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,686806,422733,263004,114688,43724,21376,10631,7844,6467,28694,983004,207127,8.9,8.8
6,Pulp Fiction,https://www.imdb.com/title/tt0110912/,660654,527693,322535,136719,50516,26160,13893,10206,8762,25255,1094179,207352,8.9,8.5
7,Schindler's List,https://www.imdb.com/title/tt0108052/,442448,373617,214879,80414,26731,12707,6141,4495,4242,19099,712675,159033,8.9,9.0
8,12 Angry Men,https://www.imdb.com/title/tt0050083/,238193,218610,130006,47105,15458,6138,2817,1679,1461,8161,418712,69202,9.0,8.8
10,Inception,https://www.imdb.com/title/tt1375666/,704914,608087,394541,168542,58934,26225,13129,8519,6824,17296,1203688,279239,8.8,8.6
11,Fight Club,https://www.imdb.com/title/tt0137523/,623539,557884,360049,147571,51608,24161,12408,8436,6839,17159,1096933,235885,8.8,8.7
12,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,615510,449020,307717,129366,45511,22173,10735,8097,6802,26717,977221,217452,8.8,8.8
13,Forrest Gump,https://www.imdb.com/title/tt0109830/,603875,537054,361641,146633,49793,22204,11449,7518,5837,11920,1005971,262300,8.8,8.7
14,"The Good, the Bad and the Ugly",https://www.imdb.com/title/tt0060196/,242115,194950,134283,56828,18244,8423,3837,2395,2007,10224,467025,44317,8.9,8.4
15,Hamilton,https://www.imdb.com/title/tt8503618/,17822,9166,5218,2377,979,598,349,287,351,1761,17625,7132,8.5,9.2
16,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,504913,410290,302363,127167,43694,20308,9457,6680,5763,20711,881647,191669,8.7,8.7
17,The Matrix,https://www.imdb.com/title/tt0133093/,496904,490198,363290,160664,55472,24794,12320,8463,6423,15889,1016187,184939,8.8,8.3
18,Goodfellas,https://www.imdb.com/title/tt0099685/,281118,312445,244344,98000,29030,11164,5041,3140,2279,6314,655926,83017,8.7,8.4
19,Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/,392355,310236,241648,107963,35700,15589,6700,4263,3515,15379,715978,107472,8.8,8.5
20,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,246871,286692,218930,88022,26126,10140,4561,2430,1889,6487,555943,117725,8.7,8.6
